,gene_id,database,kegg_id
2714,WA5_RS01915,KEGG_Pathway,map01200
2715,WA5_RS01915,KEGG_Pathway,map05134
2725,WA5_RS01920,KEGG_Pathway,map00020
2726,WA5_RS01920,KEGG_Pathway,map00190
2727,WA5_RS01920,KEGG_Pathway,map00650
2728,WA5_RS01920,KEGG_Pathway,map00720
2729,WA5_RS01920,KEGG_Pathway,map01100
2730,WA5_RS01920,KEGG_Pathway,map01110
2731,WA5_RS01920,KEGG_Pathway,map01120
2732,WA5_RS01920,KEGG_Pathway,map01130
2733,WA5_RS01920,KEGG_Pathway,map01200
2736,WA5_RS01970,KEGG_Pathway,map00630
2737,WA5_RS01970,KEGG_Pathway,map00670
2739,WA5_RS01975,KEGG_Pathway,map00030
2742,WA5_RS01990,KEGG_Pathway,map01524
2743,WA5_RS01990,KEGG_Pathway,map04016
2745,WA5_RS02005,KEGG_Pathway,map02010
2747,WA5_RS02010,KEGG_Pathway,map02010
2749,WA5_RS02015,KEGG_Pathway,map02010
2753,WA5_RS02045,KEGG_Pathway,map00520
2754,WA5_RS02045,KEGG_Pathway,map00550
2755,WA5_RS02045,KEGG_Pathway,map01100
2766,WA5_RS02055,KEGG_Pathway,map00061
2767,WA5_RS02055,KEGG_Pathway,map00071
2768,WA5_RS02055,KEGG_Pathway,map01100
2769,WA5_RS02055,KEGG_Pathway,map01212
2770,WA5_RS02055,KEGG_Pathway,map02024
2771,WA5_RS02055,KEGG_Pathway,map03320
2772,WA5_RS02055,KEGG_Pathway,map04146
2773,WA5_RS02055,KEGG_Pathway,map04216
2774,WA5_RS02055,KEGG_Pathway,map04714
2775,WA5_RS02055,KEGG_Pathway,map04920
2787,WA5_RS02065,KEGG_Pathway,map00010
2788,WA5_RS02065,KEGG_Pathway,map00260
2789,WA5_RS02065,KEGG_Pathway,map00680
2790,WA5_RS02065,KEGG_Pathway,map01100
2791,WA5_RS02065,KEGG_Pathway,map01110
2792,WA5_RS02065,KEGG_Pathway,map01120
2793,WA5_RS02065,KEGG_Pathway,map01130
2794,WA5_RS02065,KEGG_Pathway,map01200
2795,WA5_RS02065,KEGG_Pathway,map01230
2796,WA5_RS02065,KEGG_Pathway,map04922
2797,WA5_RS02065,KEGG_Pathway,map05230
2799,WA5_RS02070,KEGG_Pathway,map02020
2801,WA5_RS02075,KEGG_Pathway,map02020
2803,WA5_RS02095,KEGG_Pathway,map00230
2809,WA5_RS02105,KEGG_Pathway,map00330
2810,WA5_RS02105,KEGG_Pathway,map01100
2811,WA5_RS02105,KEGG_Pathway,map01110
2812,WA5_RS02105,KEGG_Pathway,map01130
2813,WA5_RS02105,KEGG_Pathway,map01230
2818,WA5_RS02125,KEGG_Pathway,map00860
2819,WA5_RS02125,KEGG_Pathway,map01100
2820,WA5_RS02125,KEGG_Pathway,map01110
2821,WA5_RS02125,KEGG_Pathway,map01120
2826,WA5_RS02130,KEGG_Pathway,map00860
2827,WA5_RS02130,KEGG_Pathway,map01100
2828,WA5_RS02130,KEGG_Pathway,map01110
2829,WA5_RS02130,KEGG_Pathway,map01120
2834,WA5_RS02150,KEGG_Pathway,map00130
2835,WA5_RS02150,KEGG_Pathway,map00350
2836,WA5_RS02150,KEGG_Pathway,map00360
2837,WA5_RS02150,KEGG_Pathway,map01100
2843,WA5_RS02155,KEGG_Pathway,map00400
2844,WA5_RS02155,KEGG_Pathway,map01100
2845,WA5_RS02155,KEGG_Pathway,map01110
2846,WA5_RS02155,KEGG_Pathway,map01130
2847,WA5_RS02155,KEGG_Pathway,map01230
2853,WA5_RS02160,KEGG_Pathway,map00400
2854,WA5_RS02160,KEGG_Pathway,map01100
2855,WA5_RS02160,KEGG_Pathway,map01110
2856,WA5_RS02160,KEGG_Pathway,map01130
2857,WA5_RS02160,KEGG_Pathway,map01230
2859,WA5_RS02170,KEGG_Pathway,map02010
2861,WA5_RS02175,KEGG_Pathway,map02010
2863,WA5_RS02180,KEGG_Pathway,map02010
2868,WA5_RS02185,KEGG_Pathway,map00860
2869,WA5_RS02185,KEGG_Pathway,map01100
